game_id,n_rounds,n_turns,other_player_level,player_0_-1_gems_taken,player_0_-2_gems_taken,player_0_0_gems_taken,player_0_1_gems_taken,player_0_1_reserve_board,player_0_1_reserve_topdeck,player_0_2_gems_taken,player_0_2_reserve_board,player_0_2_reserve_topdeck,player_0_3_gems_taken,player_0_3_reserve_board,player_0_3_reserve_topdeck,player_0_ai_level,player_0_costs_tier_1_cost_is_1,player_0_costs_tier_1_cost_is_2,player_0_costs_tier_1_cost_is_3,player_0_costs_tier_2_cost_is_1,player_0_costs_tier_2_cost_is_2,player_0_costs_tier_2_cost_is_3,player_0_costs_tier_3_cost_is_1,player_0_costs_tier_3_cost_is_2,player_0_costs_tier_3_cost_is_3,player_0_n_cards,player_0_n_objectives,player_0_n_reserved_cards,player_0_ncards_black,player_0_ncards_blue,player_0_ncards_green,player_0_ncards_red,player_0_ncards_tier_1,player_0_ncards_tier_2,player_0_ncards_tier_3,player_0_ncards_white,player_0_order,player_0_points,player_0_points_tier_1_points_is_0,player_0_points_tier_1_points_is_1,player_0_points_tier_2_points_is_1,player_0_points_tier_2_points_is_2,player_0_points_tier_2_points_is_3,player_0_points_tier_3_points_is_3,player_0_points_tier_3_points_is_4,player_0_points_tier_3_points_is_5,player_0_win,player_1_-1_gems_taken,player_1_-2_gems_taken,player_1_0_gems_taken,player_1_1_gems_taken,player_1_1_reserve_board,player_1_1_reserve_topdeck,player_1_2_gems_taken,player_1_2_reserve_board,player_1_2_reserve_topdeck,player_1_3_gems_taken,player_1_3_reserve_board,player_1_3_reserve_topdeck,player_1_ai_level,player_1_costs_tier_1_cost_is_1,player_1_costs_tier_1_cost_is_2,player_1_costs_tier_1_cost_is_3,player_1_costs_tier_2_cost_is_1,player_1_costs_tier_2_cost_is_2,player_1_costs_tier_2_cost_is_3,player_1_costs_tier_3_cost_is_1,player_1_costs_tier_3_cost_is_2,player_1_costs_tier_3_cost_is_3,player_1_n_cards,player_1_n_objectives,player_1_n_reserved_cards,player_1_ncards_black,player_1_ncards_blue,player_1_ncards_green,player_1_ncards_red,player_1_ncards_tier_1,player_1_ncards_tier_2,player_1_ncards_tier_3,player_1_ncards_white,player_1_order,player_1_points,player_1_points_tier_1_points_is_0,player_1_points_tier_1_points_is_1,player_1_points_tier_2_points_is_1,player_1_points_tier_2_points_is_2,player_1_points_tier_2_points_is_3,player_1_points_tier_3_points_is_3,player_1_points_tier_3_points_is_4,player_1_points_tier_3_points_is_5,player_1_win,player_2_-1_gems_taken,player_2_-2_gems_taken,player_2_0_gems_taken,player_2_1_gems_taken,player_2_1_reserve_board,player_2_1_reserve_topdeck,player_2_2_gems_taken,player_2_2_reserve_board,player_2_2_reserve_topdeck,player_2_3_gems_taken,player_2_3_reserve_board,player_2_3_reserve_topdeck,player_2_ai_level,player_2_costs_tier_1_cost_is_1,player_2_costs_tier_1_cost_is_2,player_2_costs_tier_1_cost_is_3,player_2_costs_tier_2_cost_is_1,player_2_costs_tier_2_cost_is_2,player_2_costs_tier_2_cost_is_3,player_2_costs_tier_3_cost_is_1,player_2_costs_tier_3_cost_is_2,player_2_costs_tier_3_cost_is_3,player_2_n_cards,player_2_n_objectives,player_2_n_reserved_cards,player_2_ncards_black,player_2_ncards_blue,player_2_ncards_green,player_2_ncards_red,player_2_ncards_tier_1,player_2_ncards_tier_2,player_2_ncards_tier_3,player_2_ncards_white,player_2_order,player_2_points,player_2_points_tier_1_points_is_0,player_2_points_tier_1_points_is_1,player_2_points_tier_2_points_is_1,player_2_points_tier_2_points_is_2,player_2_points_tier_2_points_is_3,player_2_points_tier_3_points_is_3,player_2_points_tier_3_points_is_4,player_2_points_tier_3_points_is_5,player_2_win,player_3_-1_gems_taken,player_3_-2_gems_taken,player_3_0_gems_taken,player_3_1_gems_taken,player_3_1_reserve_board,player_3_1_reserve_topdeck,player_3_2_gems_taken,player_3_2_reserve_board,player_3_2_reserve_topdeck,player_3_3_gems_taken,player_3_3_reserve_board,player_3_3_reserve_topdeck,player_3_ai_level,player_3_costs_tier_1_cost_is_1,player_3_costs_tier_1_cost_is_2,player_3_costs_tier_1_cost_is_3,player_3_costs_tier_2_cost_is_1,player_3_costs_tier_2_cost_is_2,player_3_costs_tier_2_cost_is_3,player_3_costs_tier_3_cost_is_1,player_3_costs_tier_3_cost_is_2,player_3_costs_tier_3_cost_is_3,player_3_n_cards,player_3_n_objectives,player_3_n_reserved_cards,player_3_ncards_black,player_3_ncards_blue,player_3_ncards_green,player_3_ncards_red,player_3_ncards_tier_1,player_3_ncards_tier_2,player_3_ncards_tier_3,player_3_ncards_white,player_3_order,player_3_points,player_3_points_tier_1_points_is_0,player_3_points_tier_1_points_is_1,player_3_points_tier_2_points_is_1,player_3_points_tier_2_points_is_2,player_3_points_tier_2_points_is_3,player_3_points_tier_3_points_is_3,player_3_points_tier_3_points_is_4,player_3_points_tier_3_points_is_5,player_3_win,player_winner_n_objectives,player_winner_ncards_tier_1,player_winner_ncards_tier_2,player_winner_ncards_tier_3,unique_player_id,unique_player_level,unique_player_win
456,32,131,1,1,0,2,2,0,1,3,2,0,8,2,0,1,0,0,1,0,0,0,0,0,0,12,0,3,3,3,4,2,9,3,0,0,2,8,7,2,1,1,1,0,0,0,0,0,0,4,2,1,0,2,1,0,9,1,1,1,0,0,1,0,0,0,0,0,0,12,0,2,2,2,2,2,10,2,0,4,3,4,9,1,1,1,0,0,0,0,0,0,0,2,0,1,0,4,2,0,10,1,1,1,0,0,0,0,0,0,0,0,0,12,0,2,2,6,1,2,5,7,0,1,1,13,5,0,2,4,1,0,0,0,0,0,0,0,0,1,0,2,3,0,7,0,0,1,0,0,7,0,0,0,0,0,0,20,2,3,4,2,3,4,14,6,0,7,0,16,13,1,4,1,1,0,0,0,1,2,14,6,0,1,1,0
457,33,135,1,0,0,1,0,2,0,4,1,1,10,1,0,1,0,0,1,0,0,0,0,0,0,14,0,3,3,1,2,5,8,5,1,3,1,16,6,2,1,3,1,0,1,0,1,0,0,3,1,4,0,3,0,0,10,1,0,1,0,0,3,0,0,0,0,0,0,12,0,2,3,2,1,2,9,2,1,4,0,7,9,0,0,2,0,1,0,0,0,0,0,1,1,3,1,3,0,0,10,0,1,1,0,0,2,0,0,0,0,0,0,14,0,3,2,3,1,4,8,5,1,4,2,14,7,1,3,1,1,0,0,1,0,0,0,0,0,2,1,4,1,0,10,1,0,1,0,0,3,0,0,0,0,0,0,15,0,3,2,3,7,2,10,4,1,1,3,11,9,1,2,2,0,0,1,0,0,0,8,5,1,1,1,0
458,26,107,1,0,0,3,0,0,0,3,2,0,7,0,1,1,0,0,4,0,0,0,0,0,0,11,0,3,3,5,2,1,7,4,0,0,1,9,6,1,1,2,1,0,0,0,0,0,0,0,0,3,0,1,0,0,9,2,0,1,0,0,1,0,0,0,0,0,0,12,0,3,2,1,3,2,10,1,1,4,2,8,7,3,0,1,0,1,0,0,0,0,0,0,0,0,0,2,1,1,6,1,0,1,0,0,2,0,0,0,0,0,0,16,1,3,2,4,2,3,10,6,0,5,0,15,10,0,1,4,1,0,0,0,1,0,0,0,0,0,0,4,0,0,7,3,0,1,0,0,2,0,0,0,0,0,0,13,0,3,4,3,2,2,11,2,0,2,3,5,10,1,0,2,0,0,0,0,0,1,10,6,0,1,1,0
459,28,115,1,0,0,2,3,1,0,3,2,0,7,2,0,1,0,0,2,0,0,0,0,0,0,9,0,3,0,1,4,3,7,2,0,1,3,4,7,0,1,0,1,0,0,0,0,0,0,3,2,0,0,5,0,0,7,2,1,1,0,0,3,0,0,0,0,0,0,9,0,3,2,3,2,1,7,2,0,1,1,4,6,1,1,1,0,0,0,0,0,0,0,2,5,1,0,5,3,0,5,1,0,1,0,0,0,0,0,0,0,0,0,7,0,3,1,2,2,1,3,3,1,1,0,9,2,1,1,2,0,1,0,0,0,0,0,0,0,2,0,3,0,0,9,2,0,1,0,0,2,0,0,0,0,0,0,13,1,3,3,2,4,4,7,5,1,0,2,15,7,0,3,2,0,0,0,1,1,1,7,5,1,1,1,0
460,29,119,1,0,0,0,0,0,0,2,1,0,9,2,0,1,0,0,2,0,0,0,0,0,0,16,0,2,5,3,4,2,10,6,0,2,0,14,8,2,2,2,2,0,0,0,0,0,0,0,0,1,0,7,2,0,7,1,0,1,0,0,1,0,0,0,0,0,0,12,0,3,1,3,3,3,7,5,0,2,1,9,6,1,2,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,2,1,1,0,0,3,0,0,0,0,0,0,15,0,2,2,1,4,3,11,3,1,5,3,8,11,0,1,2,0,1,0,0,0,0,0,0,0,3,0,0,2,0,8,1,0,1,0,0,4,0,0,0,0,0,0,16,2,2,3,4,2,3,12,3,1,4,2,16,10,2,2,0,1,1,0,0,1,2,12,3,1,1,1,0
461,25,103,1,0,0,1,2,0,0,3,1,2,5,1,0,1,0,0,3,0,0,0,0,0,0,11,0,3,1,1,3,3,8,3,0,3,0,6,7,1,1,2,0,0,0,0,0,0,0,0,2,0,0,2,3,0,8,0,1,1,0,0,0,0,0,0,0,0,0,10,0,3,3,1,2,4,7,3,0,0,1,8,6,1,1,0,2,0,0,0,0,0,0,0,1,1,0,0,1,0,9,2,0,1,0,0,0,0,0,0,0,0,0,12,1,3,2,4,0,1,7,4,1,5,2,17,5,2,2,1,1,0,0,1,1,0,0,2,0,2,0,4,1,1,5,0,0,1,0,0,2,0,0,0,0,0,0,11,0,2,1,2,2,2,8,3,0,4,3,4,8,0,2,1,0,0,0,0,0,1,7,4,1,1,1,0
462,30,123,1,0,0,3,0,1,1,6,0,0,5,3,0,1,0,0,3,0,0,0,0,0,0,12,0,2,2,2,2,3,9,2,1,3,0,8,8,1,1,1,0,0,1,0,0,0,0,0,0,0,1,3,2,2,9,0,0,1,0,0,1,0,0,0,0,0,0,14,0,2,4,4,3,2,6,8,0,1,2,16,6,0,1,6,1,0,0,0,0,0,0,0,0,0,0,2,2,1,7,2,0,1,0,0,4,0,0,0,0,0,0,17,1,2,1,3,6,4,10,6,1,3,3,17,9,1,4,2,0,0,0,1,1,0,0,0,0,0,0,1,1,0,8,2,0,1,0,0,2,0,0,0,0,0,0,19,0,2,5,2,2,5,13,5,1,5,1,13,10,3,3,2,0,1,0,0,0,1,10,6,1,1,1,0
463,28,115,1,0,0,0,1,3,0,4,1,0,6,2,0,1,0,0,0,0,0,0,0,0,0,12,0,3,1,2,4,2,7,4,1,3,2,12,6,1,1,3,0,0,1,0,0,0,0,0,0,2,0,5,3,0,5,0,1,1,0,0,4,0,0,0,0,0,0,13,0,3,2,1,1,5,9,4,0,4,0,8,9,0,2,0,2,0,0,0,0,0,0,1,1,0,0,5,1,0,7,2,0,1,0,0,1,0,0,0,0,0,0,12,0,3,2,4,1,3,8,4,0,2,1,11,5,3,0,4,0,0,0,0,0,0,0,0,0,3,0,1,1,0,7,1,0,1,0,0,3,0,0,0,0,0,0,16,2,3,4,3,3,4,11,4,1,2,3,15,10,1,3,1,0,1,0,0,1,2,11,4,1,1,1,0
464,29,119,1,0,0,3,0,1,0,2,1,0,9,3,0,1,0,0,2,0,0,0,0,0,0,11,0,3,5,2,2,1,9,1,1,1,2,8,7,2,0,0,1,1,0,0,0,0,0,0,1,0,1,4,3,0,10,0,0,1,0,0,0,0,0,0,0,0,0,11,0,3,1,3,2,2,7,4,0,3,3,7,6,1,2,2,0,0,0,0,0,0,0,0,0,2,1,2,1,0,7,1,0,1,0,0,4,0,0,0,0,0,0,16,2,3,2,4,4,3,10,6,0,3,0,16,10,0,2,4,0,0,0,0,1,0,0,0,0,2,0,1,2,1,9,0,0,1,0,0,3,0,0,0,0,0,0,15,0,2,3,3,2,3,10,4,1,4,1,12,8,2,2,2,0,0,1,0,0,2,10,6,0,1,1,0
465,28,115,1,0,0,0,0,3,0,2,1,0,7,2,0,1,0,0,3,0,0,0,0,0,0,14,1,3,2,3,4,3,10,4,0,2,0,11,9,1,2,1,1,0,0,0,0,0,0,0,0,2,0,3,2,0,6,2,1,1,0,0,1,0,0,0,0,0,0,13,0,3,5,2,3,2,9,4,0,1,1,8,8,1,1,3,0,0,0,0,0,0,0,1,0,1,0,1,2,0,10,0,0,1,0,0,3,0,0,0,0,0,0,14,0,3,1,4,1,3,8,6,0,5,2,11,7,1,2,4,0,0,0,0,0,0,0,0,0,2,0,2,1,0,7,0,1,1,0,0,3,0,0,0,0,0,0,16,2,3,4,3,3,3,10,6,0,3,3,16,9,1,4,1,1,0,0,0,1,2,10,6,0,1,1,0
